,cell_type
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,1
466,0
467,1
468,1
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,1
568,0
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,0
585,0
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,0
618,1
619,1
620,1
621,0
622,0
623,0
624,1
625,0
626,1
627,1
628,0
629,1
630,1
631,0
632,1
633,0
634,1
635,0
636,1
637,1
638,0
639,0
640,1
641,1
642,1
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
